번호,링크,날짜,앵글,참가자(선택),제목,주제(선택),등록자(선택)
51,https://www.youtube.com/watch?v=8rCiWHyMsOA,2026-01-21,,,20260121 코오롱스포렉스 저녁반,,
52,https://www.youtube.com/watch?v=lxkPRmZz2yQ,2026-01-19,,,20260119 코오롱스포렉스 저녁반,,
53,https://www.youtube.com/watch?v=e6bHj5KPo9U,2026-01-17,,,English Practicing 240116,,
54,https://www.youtube.com/watch?v=qSbXkCBKo9k,2026-01-17,,,Working at Radhey Chai Bar 240102,,
55,https://www.youtube.com/watch?v=q05bUjMPLRA,2026-01-16,,,20260116 코오롱스포렉스 저녁반,,
56,https://www.youtube.com/watch?v=p7sWXJ1FJuo,2026-01-16,,,2024 동대문구 단별대회 여자 2단부,,
57,https://www.youtube.com/watch?v=xgm8lYHYkhw,2026-01-16,,,Working at Radhey Chai bar,,
58,https://www.youtube.com/watch?v=Qx2bwvYvwGw,2026-01-15,,,이화검도부 준비운동,,
59,https://www.youtube.com/watch?v=vRAHqQPfrVo,2026-01-15,,,20241207 동대문구 단별대회 여자3단부,,
60,https://www.youtube.com/watch?v=KapyPcjtXoI,2026-01-15,,,20250510 코오롱스포렉스 저녁반,,
61,https://www.youtube.com/watch?v=ADWzj7NsRkE,2026-01-15,,,20241103 서울시추계대학연맹전 여자ㄷㅏㄴㅊㅔ결승,,
62,https://www.youtube.com/watch?v=w8tk5_JGWh0,2026-01-15,,,20250903 강북구대회 여자부,,
63,https://www.youtube.com/watch?v=l8grue2gEsw,2026-01-15,,,20260114 코오롱스포렉스 저녁반,,
64,https://www.youtube.com/watch?v=LCH_9dXPEIc,2026-01-13,,,20260112 코오롱스포렉스 저녁반,,
65,https://www.youtube.com/watch?v=ltKqPaxvdkw,2026-01-09,,,20260110 코오롱스포렉스 저녁반,,
66,https://www.youtube.com/watch?v=Yfqb0J_tIaA,2026-01-06,,,20221223 코오롱스포렉스 저녁반,,
67,https://www.youtube.com/watch?v=bYHbJCwpdkU,2026-01-05,,,20260106 코오롱스포렉스 저녁반,,
68,https://www.youtube.com/watch?v=wDE3lQ6D2ME,2025-12-27,,,20251226 코오롱스포렉스 저녁반,,
69,https://www.youtube.com/watch?v=qxms9UJ4Cj4,2025-12-06,,,코오롱 합동연무,,
70,https://www.youtube.com/watch?v=gncbvu0RPDo,2025-12-06,,,251205 코오롱스포렉스 저녁반,,
71,https://www.youtube.com/watch?v=mrQDFPyrSiM,2025-11-19,,,251119 연무식 연습,,
72,https://www.youtube.com/watch?v=NreQzOrx-eQ,2025-11-19,,,251119 코오롱스포렉스 저녁반,,
73,https://www.youtube.com/watch?v=quSaaLaMjM0,2025-11-19,,,251117 코오롱스포렉스 저녁반,,
